LGA,facility_type_needed,num_new_facilities_required,avg_time_BEFORE,avg_time_AFTER,proposed_locations
Abua/Odual,healthcare,5,14.99,9.69,"[(4.813913752463153, 6.672118637915434), (4.813913752463153, 6.672118637915434), (4.813913752463153, 6.672118637915434), (4.813913752463153, 6.672118637915434), (4.813913752463153, 6.672118637915434)]"
Ahoada East,healthcare,1,6.92,3.12,"[(5.137811759696415, 6.673940627523871)]"
Ahoada West,healthcare,5,23.37,11.84,"[(5.0078808107677215, 6.474079118507789), (5.0078808107677215, 6.474079118507789), (5.0078808107677215, 6.474079118507789), (5.0078808107677215, 6.474079118507789), (5.0078808107677215, 6.474079118507789)]"
Akuku-Toru,healthcare,2,58.53,0.16,"[(4.540516485280026, 6.7376652851915155), (4.698801391667713, 6.673700763474173)]"
Andoni,healthcare,1,13.66,4.1,"[(4.468635700558116, 7.4304376249623925)]"
Asari-Toru,healthcare,2,63.11,0.81,"[(4.712005238308458, 6.847277464643447), (4.7481906890001415, 6.792759047815804)]"
Bonny,healthcare,2,33.12,1.71,"[(4.552801810736381, 7.167778621503306), (4.550319420346797, 7.122846133622662)]"
Degema,healthcare,2,52.63,0.0,"[(4.4745721349477, 6.943947726089168), (4.439321035349814, 6.977422868713535)]"
Eleme,healthcare,2,16.41,5.74,"[(4.75631144000443, 7.153836533227012), (4.7070082142048335, 7.186792786477918)]"
Emuoha,healthcare,5,33.36,25.48,"[(4.966925942505252, 6.6810985954677315), (4.948754415034115, 6.680683997262534), (4.948754415034115, 6.680683997262534), (4.948754415034115, 6.680683997262534), (4.948754415034115, 6.680683997262534)]"
Etche,healthcare,5,23.55,14.95,"[(4.894259921993813, 7.040377475153747), (4.941859991143078, 7.044243140775921), (4.981547791608179, 7.050576410893345), (4.981547791608179, 7.050576410893345), (4.981547791608179, 7.050576410893345)]"
Gokana,healthcare,1,25.39,3.45,"[(4.662541345180213, 7.286976075719102)]"
Ikwerre,healthcare,5,20.46,11.36,"[(4.925712587020548, 6.943084669270793), (5.005625076842543, 6.925329483955191), (5.005625076842543, 6.925329483955191), (5.005625076842543, 6.925329483955191), (5.005625076842543, 6.925329483955191)]"
Khana,healthcare,1,18.96,5.25,"[(4.652246615366455, 7.453919810759677)]"
Obio/Akpor,healthcare,5,4.12,4.01,"[(4.818552576894372, 7.003882601738187), (4.818552576894372, 7.003882601738187), (4.818552576894372, 7.003882601738187), (4.818552576894372, 7.003882601738187), (4.818552576894372, 7.003882601738187)]"
Ogba/Egbema/Ndoni,healthcare,5,77.42,24.03,"[(5.508698546439074, 6.63404543092814), (5.508698546439074, 6.63404543092814), (5.508698546439074, 6.63404543092814), (5.508698546439074, 6.63404543092814), (5.508698546439074, 6.63404543092814)]"
Ogu/Bolo,healthcare,1,34.07,0.58,"[(4.6499741186511905, 7.196358934644469)]"
Okrika,healthcare,2,27.32,0.0,"[(4.638206086214223, 7.080203042378429), (4.645625296832534, 7.024841910691606)]"
Omumma,healthcare,2,70.14,4.5,"[(5.13181921198889, 7.226590141446035), (5.176004147255695, 7.1958436945258155)]"
